RefLink,CarName,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,Transmission,OMV,ARF,Power,No of Owners
https://www.sgcarmart.com/used_cars/info.php?ID=1075998&DL=3752,Mercedes-Benz SLK-Class SLK200K (COE till 10/2028),"$70,800","$10,840 /yr","161,000 km (11.9k /yr)","$1,364 /yr","$21,083 as of today (change)","$32,279","1,796 cc","1,415 kg",Luxury Sedan,"03-Oct-2008
(6yrs 6mths 8days COE left)",Auto,"$44,970","$44,970",135.0 kW (181 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1063486&DL=3457,Mercedes-Benz E-Class E250 Avantgarde,"$64,800","$23,060 /yr
View models with similar depre",N.A.,"$1,202 /yr","$42,036 as of today (change)","$79,300","1,991 cc","1,680 kg",Luxury Sedan,"27-Nov-2013
(1yr 8mths 2days COE left)",Auto,"$46,610","$52,254",155.0 kW (207 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1072647&DL=3727,BMW M Series M5,"$365,000",N.A.,"22,488 km","$4,568 /yr",N.A.,"$39,728","4,395 cc","1,930 kg",Sports Car,"16-Sep-2019
(7yrs 5mths 22days COE left)",Auto,"$84,490","$124,082",441.0 kW (591 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1077949&DL=2676,Mercedes-Benz C-Class C180K,"$29,000",N.A.,"150,000 km (15.2k /yr)",$742 /yr,"$15,164 as of today (change)",N.A.,"1,597 cc","1,500 kg",Luxury Sedan,"22-May-2012
(1mth 27days COE left)",Auto,"$30,328","$30,328",115.0 kW (154 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1046655&DL=1094,Porsche Cayenne 3.6A Tip (COE till 11/2031),"$169,800","$17,520 /yr","122,977 km (13.4k /yr)","$3,322 /yr","$64,350 as of today (change)","$66,387","3,598 cc","2,105 kg",SUV,"09-Jan-2013
(9yrs 8mths 6days COE left)",Auto,"$80,674","$80,674",220.0 kW (295 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1064623&DL=2052,Honda Vezel 1.5A G Honda Sensing,"$128,988","$12,650 /yr
View models with similar depre",38 km,$682 /yr,"$63,756 as of today (change)","$57,599","1,496 cc","1,250 kg",SUV,"14-Jan-2022
(9yrs 9mths 20days COE left)",Auto,"$23,314","$9,640",87.0  kW (116  bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1073701&DL=3093,Toyota Corolla Altis 1.6A Elegance,"$62,800","$10,730 /yr
View models with similar depre","95,000 km (18.7k /yr)",$742 /yr,"$37,822 as of today (change)","$48,401","1,598 cc","1,215 kg",Mid-Sized Sedan,"24-Feb-2017
(4yrs 10mths 30days COE left)",Auto,"$19,990","$19,990",90.0 kW (120 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1073420&DL=1000,Nissan Qashqai 2.0A (COE till 10/2030),"$90,000","$10,450 /yr","128,900 km (11.3k /yr)","$1,452 /yr","$32,908 as of today (change)","$38,216","1,997 cc","1,360 kg",SUV,"13-Nov-2010
(8yrs 7mths 7days COE left)",Auto,"$23,654","$23,654",102.0 kW (136 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1070319&DL=1000,Hyundai Sonata VIII 2.0A GLS,"$68,800","$12,670 /yr
View models with similar depre","43,900 km (8.2k /yr)","$1,212 /yr","$39,984 as of today (change)","$56,500","1,999 cc","1,460 kg",Luxury Sedan,"21-Nov-2016
(4yrs 7mths 27days COE left)",Auto,"$19,483","$19,483",113.0 kW (151 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1080749&DL=1001,BMW X1 sDrive18i,"$116,800","$18,130 /yr
View models with similar depre","27,932 km (6.2k /yr)",$684 /yr,"$52,496 as of today (change)","$50,000","1,499 cc","1,430 kg",SUV,"02-Oct-2017
(5yrs 6mths 7days COE left)",Auto,"$33,003","$33,205",103.0 kW (138 bhp),1
