CarID,CarName,CarAge,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,COE Expiry Date,COE Duration,Transmission,OMV,ARF,Power,No of Owners
1047167,BMW X2 sDrive18i M Mesh,206,179800,16560,3500,684,78398,59599,1499,1430,SUV,2021-08-30,2031-08-29,3445,Auto,39301,47022,100.0,1
1072427,Honda Shuttle 1.5A G Honda Sensing,860,90800,11020,17000,682,30447,26999,1496,1130,Stationwagon,2019-11-15,2029-11-14,2792,Auto,22185,13059,95.0,1
1078268,Toyota Sienta 1.5A Standard,1084,81800,10390,66000,682,31455,26170,1496,1325,MPV,2019-04-05,2029-04-04,2568,Auto,17390,17390,79.0,1
1060473,Jaguar F-PACE 3.0A V6 Supercharged Prestige,1927,155000,23940,111000,2380,80546,46229,2995,1856,SUV,2016-12-13,2026-12-12,1724,Auto,62151,83872,250.0,1
1080029,Honda Jazz 1.3A,2185,49800,11080,54204,578,25478,45000,1318,1040,Hatchback,2016-03-30,2026-12-12,1724,Auto,15577,10577,73.0,1
1082506,Bentley Continental Flying Spur 6.0A,4486,145000,21130,85000,9196,21505,31335,5998,2600,Luxury Sedan,2009-12-11,2029-01-31,2505,Auto,116908,116908,412.0,4
1066064,Mercedes-Benz E-Class E200 Avantgarde,267,256800,24010,5730,1202,103302,56032,1991,1685,Luxury Sedan,2021-06-30,2029-01-31,2505,Auto,53595,68471,145.0,1
1040497,Maserati Quattroporte S 4.7A,4696,119800,16860,110000,6539,25166,35411,4691,1990,Sports Car,2009-05-15,2029-04-30,2594,Auto,131306,131306,317.0,5
1077906,Honda Fit 1.3A GF,1422,62800,9870,50350,578,26355,37000,1317,1030,Hatchback,2018-05-02,2028-05-01,2230,Auto,14877,5000,73.0,2
1070395,BMW X3 xDrive20i Sunroof,3216,53500,24410,120000,1210,34761,66701,1997,1705,SUV,2013-06-03,2028-05-01,2230,Auto,40491,48688,135.0,2
1076502,BMW 2 Series 216i Gran Tourer Luxury,266,148800,13840,12800,684,69505,41801,1499,1490,MPV,2021-07-01,2028-05-01,2230,Auto,34989,40985,80.0,1
1035188,Audi Q7 3.0A TFSI Quattro S-Line,2345,136888,24360,160000,2380,86253,60789,2995,2105,SUV,2015-10-22,2028-05-01,2230,Auto,70671,99208,245.0,3
1068513,Mercedes-Benz GLB-Class GLB35 AMG 4MATIC 7-Seater,300,276800,26350,9400,1202,95171,46790,1991,1755,SUV,2021-05-28,2028-05-01,2230,Auto,54232,69618,225.0,1
1082598,Kia Cerato Forte 1.6A SX,4558,21000,8600,160100,959,7159,14664,1591,1251,Mid-Sized Sedan,2009-09-30,2024-08-31,891,Auto,13969,13969,92.7,3
1076970,Volvo XC90 T5 Momentum,1249,193800,23520,53000,1176,79082,31302,1969,2037,SUV,2018-10-22,2024-08-31,891,Auto,58870,77966,187.0,1
1065783,Toyota Sienta 1.5A Standard,580,90800,9740,19000,682,41048,33000,1496,1325,MPV,2020-08-21,2024-08-31,891,Auto,17711,17711,79.0,1
1078619,Toyota Corolla Altis 1.6A Classic,2395,48800,11590,153000,742,31374,57498,1598,1205,Mid-Sized Sedan,2015-09-02,2024-08-31,891,Auto,17804,17804,90.0,2
1079001,BMW X5 xDrive35i 7-Seater Sunroof,1388,225640,26800,31000,2362,112961,38600,2979,2030,SUV,2018-06-05,2028-06-04,2264,Auto,81554,118798,225.0,2
1061273,Audi A5 Sportback 2.0A TFSI S-tronic Design,1347,155000,20790,32000,1194,55117,31000,1984,1535,Luxury Sedan,2018-07-16,2028-07-15,2305,Auto,39562,47387,140.0,1
1066231,Toyota Mark X 3.0A G,5171,73888,12980,158888,3570,28548,50168,2994,1530,Luxury Sedan,2008-01-26,2027-11-30,2077,Auto,35845,39430,188.0,3
1065427,Mitsubishi Lancer EX 1.6A,2605,39800,11900,103000,738,24592,62000,1590,1289,Mid-Sized Sedan,2015-02-04,2025-02-03,1047,Auto,11346,11346,86.0,1
1066027,Mercedes-Benz C-Class C180K,3730,85800,8770,115600,816,49448,50570,1597,1500,Luxury Sedan,2012-01-06,2031-12-31,3569,Auto,31076,31076,115.0,3
1067841,Kia Cerato 1.6A EX,850,85300,10170,51472,738,35686,32309,1591,1287,Mid-Sized Sedan,2019-11-25,2029-11-24,2802,Auto,14511,14511,93.8,1
1076587,Mitsubishi Lancer EX 1.5A GLX,4661,22500,10280,169800,889,6104,13943,1499,1313,Mid-Sized Sedan,2009-06-19,2024-05-31,799,Auto,16812,16812,80.0,4
1081070,Hyundai Avante 1.6A GLS S,1101,76800,9940,55330,738,29349,26301,1591,1345,Mid-Sized Sedan,2019-03-19,2029-03-18,2551,Auto,14623,14623,93.8,1
1033195,Audi A6 2.0A TFSI MU,3159,51800,23430,120443,1194,32543,76389,1984,1565,Luxury Sedan,2013-07-30,2023-07-29,492,Auto,38176,40447,132.0,3
1078738,Nissan Qashqai 1.2A DIG-T,2015,60800,12040,62000,508,32668,51506,1197,1285,SUV,2016-09-16,2023-07-29,492,Auto,18689,13689,85.0,1
1069855,SEAT Tarraco 1.4A TSI DSG Xcellence 7-Seater Sunroof,241,161800,15060,6690,624,84016,56100,1395,1652,SUV,2021-07-26,2023-07-29,492,Auto,35814,42140,110.0,1
1081305,Kia Cerato 1.6A GT Line Sunroof,924,92803,11130,31911,738,38876,32725,1591,1287,Mid-Sized Sedan,2019-09-12,2029-09-11,2728,Auto,19223,19223,93.8,1
1075811,MINI Cooper S Clubman 2.0A,1751,112888,17940,63891,1210,56994,53300,1998,1390,Sports Car,2017-06-07,2027-06-06,1900,Auto,33570,38998,141.0,3
1076447,Hyundai Avante 1.6A GLS,979,64800,7990,49500,238,17925,11589,1591,1345,Mid-Sized Sedan,2019-07-19,2029-07-18,2673,Auto,12584,12584,93.8,1
1082700,Volkswagen Tiguan 1.4A TSI Highline Sunroof,1606,106800,15520,92000,624,56748,48109,1395,1498,SUV,2017-10-30,2027-10-29,2045,Auto,34089,39725,110.0,1
1080621,Audi A3 Sedan 1.0A TFSI S-tronic,1654,80800,13280,69500,392,31896,36001,999,1280,Luxury Sedan,2017-09-12,2027-09-11,1997,Auto,24475,16265,85.0,2
1030574,Toyota Estima Aeras 2.4A Sunroof,3270,43800,25530,89500,1638,28779,97889,2362,1790,MPV,2013-04-10,2023-04-09,381,Auto,34162,34162,125.0,1
1078030,Volkswagen New Beetle 1.6A,4034,36800,9350,139000,814,15687,19922,1595,1240,Hatchback,2011-03-08,2026-02-28,1437,Auto,18045,18045,75.0,6
1066959,Maserati GranCabrio 4.7A,3557,235800,24380,62000,5030,58229,60586,4691,1980,Sports Car,2012-06-27,2031-10-31,3508,Auto,117276,117276,323.0,5
1064467,Toyota Rav4 2.0A Premium,846,126800,14330,41000,1198,57083,42020,1987,1530,SUV,2019-11-29,2031-10-31,3508,Auto,29507,33310,127.0,1
